Performance;$novel_algorithm ($dataset_1);$baseline_algorithm_1 ($dataset_1);$baseline_algorithm_2 ($dataset_1);$baseline_algorithm_3 ($dataset_1);$novel_algorithm ($dataset_2);$baseline_algorithm_1 ($dataset_2);$baseline_algorithm_2 ($dataset_2);$baseline_algorithm_3 ($dataset_2)
$common_metric_1;0.93;1.00;0.97;1.00;0.91;0.94;0.92;0.98
$common_metric_2;1.00;1.00;1.00;1.00;0.99;0.98;0.98;1.00
$common_metric_3;0.58;1.00;0.82;1.00;0.94;0.65;0.53;0.87
$common_metric_4;0.98;1.00;0.96;1.00;0.61;0.97;0.97;1.00
$common_metric_5;0.99;1.00;1.00;1.00;0.34;0.95;0.94;1.00
$made_up_metric_1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
$made_up_metric_2;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
;;;;;;;;
Rank;$novel_algorithm ($dataset_1);$baseline_algorithm_1 ($dataset_1);$baseline_algorithm_2 ($dataset_1);$baseline_algorithm_3 ($dataset_1);$novel_algorithm ($dataset_2);$baseline_algorithm_1 ($dataset_2);$baseline_algorithm_2 ($dataset_2);$baseline_algorithm_3 ($dataset_2)
$common_metric_1;4;1;3;2;4;2;3;1
$common_metric_2;4;1;2;3;2;3;4;1
$common_metric_3;4;1;3;2;1;3;4;2
$common_metric_4;3;1;4;2;4;3;2;1
$common_metric_5;4;1;2;3;4;2;3;1
$made_up_metric_1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
$made_up_metric_2;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
;;;;;;;;
Rank Frequency;$novel_algorithm;$baseline_algorithm_1;$baseline_algorithm_2;$baseline_algorithm_3;;;;
Rank 1;1;5;0;4;;;;
Rank 2;1;2;3;4;;;;
Rank 3;1;3;4;2;;;;
Rank 4;7;0;3;0;;;;
